mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.458579730987548,0.29583989432774765,0.024532508850097657,0.0007945676141453199,0.8,5,5,0.06,0.5,0.6,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0.5, 'colsample_bytree': 0.6}",-16816.23010755565,-14782.254013270547,-19085.224836793663,-16192.455880779109,-14994.964362157534,-16374.225840111301,1550.139359708624,5
10.389871072769164,0.5851673053324368,0.020544958114624024,0.0004886752128120805,0.8,5,4,0.07,5,0.6,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.07, 'gamma': 5, 'colsample_bytree': 0.6}",-17318.14526701627,-15149.935225813357,-19532.711847174658,-16612.264581549658,-15013.34979666096,-16725.28134364298,1652.776540541696,14
14.235927724838257,0.028503390790710164,0.023935794830322266,0.0006307510835862452,1.0,1,5,0.07,0.5,0.8,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.07, 'gamma': 0.5, 'colsample_bytree': 0.8}",-17232.030581121577,-16035.459599743152,-18329.81514875856,-17152.720301797945,-14523.73286333476,-16654.7516989512,1289.3273579657814,11
10.968065977096558,0.13333319836109267,0.016755151748657226,0.0007462382148055956,0.6,10,3,0.05,2,1.0,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 1.0}",-16705.90563463185,-16052.387240475171,-19560.627822666953,-16648.386932791094,-14915.535316780823,-16776.568589469178,1533.6422707093577,16
9.97153172492981,0.13655698239632594,0.019149112701416015,0.00039861206161582796,0.8,5,4,0.04,1.5,0.6,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.04, 'gamma': 1.5, 'colsample_bytree': 0.6}",-16603.520574700342,-14879.727525684932,-19092.49280286815,-16362.171446917808,-14998.863883240581,-16387.355246682364,1520.919490450881,6
11.420656156539916,0.12261654040879369,0.016756677627563478,0.0007465235846004188,0.8,10,3,0.05,5,1.0,"{'subsample': 0.8, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 1.0}",-17251.680784460616,-15534.909500749143,-19100.45650952483,-16795.093776755137,-14338.798239511987,-16604.187762200345,1610.117739114514,10
11.616532945632935,0.15583225438736542,0.01934804916381836,0.0014918075849109104,0.6,10,4,0.05,5,0.8,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.8}",-16844.392150042808,-15425.15117990154,-19706.81212542808,-16452.671928510274,-15223.059289383562,-16730.41733465325,1607.7877180217376,15
11.775706338882447,0.187514692181489,0.022539901733398437,0.000797653269505509,1.0,10,5,0.05,0.5,0.6,"{'subsample': 1.0, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.6}",-17353.292192851026,-15252.279350385274,-18476.74389982877,-16884.612879922945,-14975.109789704624,-16588.40762253853,1313.511972812466,9
16.88364462852478,0.2473094822317,0.021741867065429688,0.0013233117426153318,0.6,10,5,0.04,5,1.0,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.04, 'gamma': 5, 'colsample_bytree': 1.0}",-17194.090031035958,-16008.371000107021,-19634.9296875,-16955.330747003423,-15487.916510595034,-17056.12759524829,1430.8384785151486,20
11.418463325500488,0.14254812166777225,0.017152690887451173,0.000744916186748721,0.6,5,3,0.04,1.5,1.0,"{'subsample': 0.6, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.04, 'gamma': 1.5, 'colsample_bytree': 1.0}",-16599.527196596748,-15692.186389661814,-19768.28416630993,-16726.78017979452,-14803.408430543665,-16718.037272581336,1675.4880379153194,13
9.995069408416748,0.04524072022942254,0.019347476959228515,0.00079844162233236,0.8,10,4,0.07,5,0.6,"{'subsample': 0.8, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.07, 'gamma': 5, 'colsample_bytree': 0.6}",-17519.02381207192,-15178.862558861301,-19793.974649507705,-17385.267457726884,-15167.040346746575,-17008.83376498288,1726.2678567664964,19
9.690085840225219,0.03749417256775779,0.016953182220458985,2.502373078041444e-06,0.6,5,3,0.06,0.5,0.8,"{'subsample': 0.6, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.06, 'gamma': 0.5, 'colsample_bytree': 0.8}",-17257.981244648974,-15800.373729130994,-19294.874210723458,-16294.358652611301,-14838.090967465754,-16697.1357609161,1515.6023089789526,12
13.967245721817017,0.05810141320630575,0.020745372772216795,0.0011622298699201666,0.6,1,4,0.04,1,1.0,"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.04, 'gamma': 1, 'colsample_bytree': 1.0}",-16239.732970355308,-15764.81996468322,-18458.047824807363,-16121.282293450342,-14579.584118150686,-16232.693434289384,1258.2797904627248,2
